    Dens   Wtype     ROC HalfROC     Seq  ROCpin  SiCell  TrLink  TrCell      iu      iv       t
      HD       0       2       0       4       4     353       0       0      18      10       1
      HD       0       2       0       5       5     370       0       0      19      10       1
      HD       0       2       0       6       6     352       0       0      18       9       1
      HD       0       2       0       7       7     389       0       0      20      11       1
      HD       0       2       0       8       8     371       0       0      19      11       1
      HD       0       2       0       9       9     350       0       2      18       7       1
      HD       0       2       0      10      10     369       0       2      19       9       1
      HD       0       2       0      11      11     351       0       2      18       8       1
      HD       0       2       0      12      12     349       0       2      18       6       1
      HD       0       2       0      13      13     386       0       2      20       9       1
      HD       0       2       0      14      14     387       0       2      20      10       1
      HD       0       2       0      15      15     368       0       2      19       8       1
      HD       0       2       0      16      16     367       0       2      19       7       1
      HD       0       2       0      17      17     385       0       2      20       8       1
      HD       0       2       0      18  CALIB0     388      -1      -1      20      10       0
      HD       0       2       0      19      18     402       0       1      21       9       1
      HD       0       2       0      20      19     432       0       1      23      11       1
      HD       0       2       0      21      20     418       0       1      22      10       1
      HD       0       2       0      22      21     403       0       1      21      10       1
      HD       0       2       0      23      22     419       0       1      22      11       1
      HD       0       2       0      24      23     420       0       1      22      12       1
      HD       0       2       0      25      24     433       0       1      23      12       1
      HD       0       2       0      26      25     404       0       1      21      11       1
      HD       0       2       0      27      26     434       0       1      23      13       1
      HD       0       2       0      28      27     437       0       3      23      16       1
      HD       0       2       0      29      28     406       0       3      21      13       1
      HD       0       2       0      30      29     405       0       3      21      12       1
      HD       0       2       0      31      30     421       0       3      22      13       1
      HD       0       2       0      32      31     407       0       3      21      14       1
      HD       0       2       0      33      32     422       0       3      22      14       1
      HD       0       2       0      34      33     423       0       3      22      15       1
      HD       0       2       0      35      34     435       0       3      23      14       1
      HD       0       2       0      36      35     436       0       3      23      15       1
      HD       0       2       1       0      36     373       2       0      19      13       1
      HD       0       2       1       1      37     356       2       0      18      13       1
      HD       0       2       1       2      38     355       2       0      18      12       1
      HD       0       2       1       3      39     392       2       0      20      14       1
      HD       0       2       1       4      40     374       2       0      19      14       1
      HD       0       2       1       5      41     393       2       0      20      15       1
      HD       0       2       1       6      42     375       2       0      19      15       1
      HD       0       2       1       7      43     394       2       0      20      16       1
      HD       0       2       1       8      44     357       2       0      18      14       1
      HD       0       2       1       9      45     377       2       2      19      17       1
      HD       0       2       1      10      46     358       2       2      18      15       1
      HD       0       2       1      11      47     376       2       2      19      16       1
      HD       0       2       1      12      48     359       2       2      18      16       1
      HD       0       2       1      13      49     395       2       2      20      17       1
      HD       0       2       1      14      50     360       2       2      18      17       1
      HD       0       2       1      15      51     378       2       2      19      18       1
      HD       0       2       1      16      52     396       2       2      20      18       1
      HD       0       2       1      17      53     397       2       2      20      19       1
      HD       0       2       1      18  CALIB1     412      -1      -1      21      18       0
      HD       0       2       1      19      54     429       2       1      22      21       1
      HD       0       2       1      20      55     442       2       1      23      21       1
      HD       0       2       1      21      56     414       2       1      21      20       1
      HD       0       2       1      22      57     443       2       1      23      22       1
      HD       0       2       1      23      58     413       2       1      21      19       1
      HD       0       2       1      24      59     428       2       1      22      20       1
      HD       0       2       1      25      60     411       2       1      21      18       1
      HD       0       2       1      26      61     427       2       1      22      19       1
      HD       0       2       1      27      62     441       2       1      23      20       1
      HD       0       2       1      28      63     439       2       3      23      18       1
      HD       0       2       1      29      64     409       2       3      21      16       1
      HD       0       2       1      30      65     410       2       3      21      17       1
      HD       0       2       1      31      66     425       2       3      22      17       1
      HD       0       2       1      32      67     424       2       3      22      16       1
      HD       0       2       1      33      68     408       2       3      21      15       1
      HD       0       2       1      34      69     438       2       3      23      17       1
      HD       0       2       1      35      70     426       2       3      22      18       1
      HD       0       2       1      36      71     440       2       3      23      19       1
      HD       0       3       0       0       0     295       0       0      15      10       1
      HD       0       3       0       1       1     296       0       0      15      11       1
      HD       0       3       0       2       2     294       0       0      15       9       1
      HD       0       3       0       3       3     316       0       0      16      10       1
      HD       0       3       0       4       4     317       0       0      16      11       1
      HD       0       3       0       5       5     336       0       0      17      11       1
      HD       0       3       0       6       6     338       0       0      17      13       1
      HD       0       3       0       7       7     318       0       0      16      12       1
      HD       0       3       0       8       8     337       0       0      17      12       1
      HD       0       3       0       9       9     341       0       2      17      16       1
      HD       0       3       0      10      10     319       0       2      16      13       1
      HD       0       3       0      11      11     339       0       2      17      14       1
      HD       0       3       0      12      12     340       0       2      17      15       1
      HD       0       3       0      13      13     297       0       2      15      12       1
      HD       0       3       0      14      14     320       0       2      16      14       1
      HD       0       3       0      15      15     321       0       2      16      15       1
      HD       0       3       0      16      16     299       0       2      15      13       1
      HD       0       3       0      17      17     300       0       2      15      14       1
      HD       0       3       0      18  CALIB0     298      -1      -1      15      12       0
      HD       0       3       0      19      18     277       0       1      14      13       1
      HD       0       3       0      20      19     275       0       1      14      11       1
      HD       0       3       0      21      20     252       0       1      13      12       1
      HD       0       3       0      22      21     276       0       1      14      12       1
      HD       0       3       0      23      22     228       0       1      12      11       1
      HD       0       3       0      24      23     227       0       1      12      10       1
      HD       0       3       0      25      24     251       0       1      13      11       1
      HD       0       3       0      26      25     250       0       1      13      10       1
      HD       0       3       0      27      26     226       0       1      12       9       1
      HD       0       3       0      28      27     248       0       3      13       8       1
      HD       0       3       0      29      28     225       0       3      12       8       1
      HD       0       3       0      30      29     274       0       3      14      10       1
      HD       0       3       0      31      30     249       0       3      13       9       1
      HD       0       3       0      32      31     272       0       3      14       8       1
      HD       0       3       0      33      32     247       0       3      13       7       1
      HD       0       3       0      34      33     273       0       3      14       9       1
      HD       0       3       0      35      34     224       0       3      12       7       1
      HD       0       3       0      36      35     223       0       3      12       6       1
      HD       0       3       1       0      36     334       2       0      17       9       1
      HD       0       3       1       1      37     333       2       0      17       8       1
      HD       0       3       1       2      38     291       2       0      15       6       1
      HD       0       3       1       3      39     335       2       0      17      10       1
      HD       0       3       1       4      40     315       2       0      16       9       1
      HD       0       3       1       5      41     293       2       0      15       8       1
      HD       0       3       1       6      42     313       2       0      16       7       1
      HD       0       3       1       7      43     292       2       0      15       7       1
      HD       0       3       1       8      44     314       2       0      16       8       1
      HD       0       3       1       9      45     331       2       2      17       6       1
      HD       0       3       1      10      46     332       2       2      17       7       1
      HD       0       3       1      11      47     312       2       2      16       6       1
      HD       0       3       1      12      48     330       2       2      17       5       1
      HD       0       3       1      13      49     310       2       2      16       4       1
      HD       0       3       1      14      50     311       2       2      16       5       1
      HD       0       3       1      15      51     290       2       2      15       5       1
      HD       0       3       1      16      52     289       2       2      15       4       1
      HD       0       3       1      17      53     288       2       2      15       3       1
      HD       0       3       1      18  CALIB1     268      -1      -1      14       4       0
      HD       0       3       1      19      54     267       2       1      14       4       1
      HD       0       3       1      20      55     241       2       1      13       1       1
      HD       0       3       1      21      56     266       2       1      14       3       1
      HD       0       3       1      22      57     265       2       1      14       2       1
      HD       0       3       1      23      58     242       2       1      13       2       1
      HD       0       3       1      24      59     217       2       1      12       0       1
      HD       0       3       1      25      60     219       2       1      12       2       1
      HD       0       3       1      26      61     218       2       1      12       1       1
      HD       0       3       1      27      62     243       2       1      13       3       1
      HD       0       3       1      28      63     269       2       3      14       5       1
      HD       0       3       1      29      64     271       2       3      14       7       1
      HD       0       3       1      30      65     270       2       3      14       6       1
      HD       0       3       1      31      66     244       2       3      13       4       1
      HD       0       3       1      32      67     220       2       3      12       3       1
      HD       0       3       1      33      68     246       2       3      13       6       1
      HD       0       3       1      34      69     221       2       3      12       4       1
      HD       0       3       1      35      70     245       2       3      13       5       1
      HD       0       3       1      36      71     222       2       3      12       5       1
      HD       0       4       0       0       0     189       0       0      10      18       1
      HD       0       4       0       1       1     213       0       0      11      19       1
      HD       0       4       0       2       2     235       0       0      12      18       1
